general_plant_id,watering,watering_general_benchmark,sunlight,soil,drought_tolerant,salt_tolerant,pruning_month,pruning_count,pest_susceptibility,flowers_detail,harvest_season,growth_rate,maintenance,care_level,watering_guide,sunlight_guide,pruning_guide
1,Frequent,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,High,,Medium,"European Silver Fir 'Abies Alba' should be watered about once a week, depending on the season and weather conditions. During the growing season (spring to mid-summer), water deeply and thoroughly. For the rest of the year, water only when the soil is dry. When watering, ensure that the root system is saturated. Do not over-water, as this can lead to root rot.","European Silver Fir 'Abies Alba' is a species of coniferous tree that grows best in sunny areas. This species of plant requires a minimum of 6 hours of sunlight per day throughout the growing season. Ideally, it should receive up to 8 hours of direct sunlight in the summer months, and 4-5 hours of sunlight in the winter. It is important to note that European Silver Fir 'Abies Alba' is not tolerant of shade and may be damaged if exposed to too much shade.","European Silver Fir should be pruned in the late winter to early spring months. This species should be pruned lightly and selectively, removing any dead, diseased, or broken branches. Foliage and branches that cross over 1 another should also be removed. Generally, pruning should not exceed 1/3 of the total height and width of the tree. When pruning, begin from the bottom of the tree and steadily move upwards."
2,Average,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,"Water your Pyramidalis Silver Fir when the soil appears dry to the touch. The amount of water you give the plant will depend on the area's climate and the pot size in which it is growing. Generally, a good rule of thumb is to water the plant about every 7 to 10 days, giving it an inch (2 cm) of water at a time. If the weather is very hot and dry, you may wish to water the plant more often.","Pyramidalis Silver Fir Abies Alba 'Pyramidalis' will thrive in full sun, meaning 6 or more hours of direct sunlight each day. This species does best in bright, sunny locations, as it will not tolerate shade. It is important to provide it with the proper amount of light throughout the year, as too little sunlight can lead to stunted growth. During the summer months, it should receive full sun all day, while in the winter months it should receive at least 4 hours of direct sunlight each day.","Pruning Pyramidalis Silver Fir Abies Alba 'Pyramidalis' should be done in late winter or early spring. When pruning, the goal should be to maintain the natural pyramidal shape of the tree. Remove any broken or dead branches, as well as any branches that are crossing or rubbing. Be sure to remove any branches that are growing inward toward the center of the tree. It is best to prune only small amounts at a time, removing no more than one-third of the tree’s foliage. This will ensure that the tree remains healthy and vigorous."
3,Average,"At least once ""7-10"" days","['Full sun', 'part shade']","['Acidic', ' Rocky ', ' gravelly ', ' dry', ' Well-drained']",True,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Dieback', ' Root rot', '  Pest resistant', ' Disease resistant ']",,,Low,Moderate,Moderate,"White Fir (Abies Concolor) should be watered thoroughly once per week during the growing season. During the winter, water should be reduced to once every two weeks. The soil should be moist but not soggy, so it is important to adjust the amount of water as needed.

If the soil around your White Fir becomes too wet, it is important to aerate the soil by adding a bit of sand or stone to allow water to drain better. Firs can also suffer from over-watering, so be sure to check the soil before each watering and adjust accordingly. When in doubt, less water is better than too much when it comes to White Firs.","White Fir (Abies Concolor) requires a minimum of 6 hours of direct sunlight per day in order to grow and thrive. It prefers full sun, but it can also tolerate partial shade. The best time for White Fir to receive sunlight is between 10am and 2pm, when the sun is at its strongest. During the late afternoon and early morning, the sun's rays may be too weak for the tree to absorb.

If the tree is not receiving enough sunlight, it may become stunted or develop yellowing needles.","Pruning white fir Abies concolor should be done regularly to keep the tree healthy and promote new growth. Pruning should be done in late winter or early spring before new growth emerges. Make sure to remove any dead, diseased, or damaged branches at this time. Pruning should be light, removing no more than 1/3 of the tree’s total foliage. Make sure to leave enough foliage to maintain the natural shape of the tree. Pruning can be done with hand shears or pruning saws."
4,Average,"At least once ""7-10"" days",['full sun'],[],True,False,"['February', 'June', 'July', 'February', 'June', 'July']",,[],,,Low,,Medium,"Candicans White Fir plants should be watered deeply every 7-14 days during the summer and spring months. In the fall, they should be watered every 14-21 days. During the winter and dry periods, they should be watered monthly. Allow the soil to become dry between waterings and be sure to water around the edges of the pot and not just directly in the center. Soil should never be kept saturated.","Candicans White Fir requires 6-8 hours of direct, bright sunlight each day for healthy growth. For best results, provide the longest amounts of time possible for direct sunlight exposure, but be sure to gradually increase exposure time so the tree does not become scorched. For example, begin with 4 hours of direct sunlight and increase by 1-2 hours per week thereafter until reaching the ideal 6-8 hours of sunlight each day.","Candicans White Fir (Abies concolor 'Candicans') should be pruned twice a year, once in the late winter and again in early summer. Pruning in late winter should be done to thin out the crown, removing up to 25% of the branches and lateral sprouts. Gently remove any crossing branches, diseased or dead branches, and any branches that grow in toward the center of the tree. Pruning in early summer should be done to shape the tree, such as cutting back some of the top branches to create a more rounded crown."
5,Frequent,"At least once ""6-12"" days","['full sun', 'part shade', 'filtered shade']",['Well-drained'],False,False,"['February', 'March', 'April', 'June', 'July', 'August']",,"['Aphids', 'adelgids', '  Pest resistant', ' Disease resistant ']",,,Moderate,Moderate,Medium,"Fraser Fir (Abies fraseri) should be watered once every 2 weeks in the spring and summer. In the fall and winter, Fraser Fir should be watered only when the top few inches of soil become dry (around once a month). Water thoroughly until water runs out of the drainage holes. It is important to check the plant's soil moisture levels before watering to ensure that the soil doesn't become too wet.","Fraser Fir (Abies fraseri) plants require full sun to thrive and will benefit from at least 6 hours of direct sunlight each day. This species usually does better in cooler climates, where it will receive partial or filtered light for the remainder of the day. It is important to remember that during the summer months, when the days are longer, Fraser Fir can still become stressed from too much exposure to sunlight, especially when temperatures are very high. To avoid sunscald or other damage, make sure to give your Fraser Fir some shade in the afternoon or on particularly hot days.","Pruning should generally be done in late winter or early spring, when the Fraser Fir tree is dormant. Otherwise, it is best to prune in the summer. Pruning should be done lightly, taking no more than 10-15% of the tree's foliage away. This will allow the tree time to heal and put its energy into new growth and development. If you have to prune more than that, divide it up over several years."
6,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",['Well-drained'],False,False,"['June', 'May']",,"['Aphids', 'adelgids', ' Blight', 'needle cast', ' Caterpillar', 'cutworm', ' Root rot', ' Rust', '  Pest resistant', ' Disease resistant', ' Deer resistant', ' Drought resistant ']",,,Low,Moderate,Medium,"Golden Korean Fir should be watered once a week in the summer and every other week during the winter. For hot and dry days , add more water as needed. Make sure to thoroughly water the plant until the excess moisture drains through the pot's drainage holes. Do not allow the plant to sit in water for too long, as this can cause the roots to rot. During the growing season, April through October, the soil should remain moist but never soggy.","Golden Korean Fir plants require full sun for optimal growth, ideally receiving at least 6-8 hours of direct sunlight every day during the growing season. They are not particularly fussy about the strength of the sunlight and will benefit from morning, midday and afternoon light. During the summer months, it is best to provide the plant with some protection from the heat of the afternoon sun to avoid damage to the foliage. ","The Golden Korean Fir should be pruned when new growth has stopped and no sooner than the end of June in climates with hot and dry summers. Pruning should consist of light trimming of the outer branches and shape the tree as desired. After the main branches have been shaped, more detailed pruning may be done by cutting the side shoots to maintain a compact and dense form. This will help to develop a dense framework and keep the tree looking tidy and balanced."
7,Average,"At least once ""7-10"" days","['full sun', 'part shade']",['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,"Alpine Fir requires moderate to deep watering and should be watered around once a week during the growing season--generally from late Spring until the end of Summer. Water the pot deeply until water comes out of the pot's bottom drainage holes to ensure the entire root system has been adequately soaked. Do not water again until the soil feels dry to the touch, about an inch below the surface. During Fall and Winter, allow the soil to dry out completely before watering.","The Alpine Fir likes the full sun. For optimal growth, it is recommended to receive approximately 6 to 8 hours of direct sunlight a day. Sunlight should be spread out evenly throughout the day, as too much sun during some parts of the day can cause sunburn and other damages. In more northern climates, it is more tolerant of lower light levels, but may not achieve ideal growth with less than 4 to 6 hours of direct sunlight.",Pruning an alpine fir is best done in the late winter or early spring just before new growth begins. Prune away dead and crossing branches as needed and selectively thin out crowded areas. Avoid removing more than 1-third of the foliage as this can stress the tree and reduce health. Doing light pruning over a number of years is the best practice as this allows for a gradual movement of the desired new shape.
8,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",[],True,True,"['March', 'April', 'June', 'July', 'August', 'March', 'April', 'May', 'June', 'July', 'August']",,[],,,Low,Moderate,Medium,"Blue Spanish Fir should be watered once a week during the growing season (April - October in most locations). During this time, the plant should be watered deeply with about 1-2 inches of water each time. During the winter months (November - March), water whenever the soil feels dry to the touch. For maximum success, water your Blue Spanish Fir with filtered or rainwater whenever possible.","Blue Spanish Fir trees prefer full sun, although they can tolerate light shade. For optimal growth, your Blue Spanish Fir should receive about 5 to 6 hours of direct sunlight per day as a minimum. The best time to provide sunlight for your Blue Spanish Fir is during the morning and afternoon, so it can benefit from the sun's warmth and intense light. Avoid exposing your Blue Spanish Fir to direct sunlight during the peak of the day from 10am to 2pm, as this can cause sunburn or heat stress to the tree.","Blue Spanish Fir plants should be pruned twice per year, once in early spring and once in mid-summer. Pruning in early spring should focus on removing diseased or damaged branches, as well as any crossing branches that may interfere with the plant's growth or shape. In mid-summer, pruning should focus on thinning out the canopy in order to promote new growth and encourage a full, symmetrical shape. When pruning, make sure to make cuts just above a healthy bud, angled away from the bud, and be sure to prune no more than a third of the total branch or foliage."
9,Average,"At least once ""7-10"" days",['full sun'],['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,"Noble Fir (Abies procera) should be watered moderately and regularly, with an approximate frequency of once a week. The amount of water that should be applied should be enough to keep the soil evenly moist but not waterlogged. When watering, water deeply to encourage deep root growth and make sure to penetrate the root ball of the plant. Established trees can withstand occasional drought, however newly planted trees may require more frequent watering until they become established.","Noble Fir plants require full sunlight for much of the day during the peak growing season, which usually occurs during the summer months. Sunlight is essential for proper growth and development of the plant, and this species should be exposed to direct sunlight for between 6-8 hours each day. During the winter months, the amount of sunlight should be reduced to 4-6 hours each day. If Noble Firs fail to receive the proper amount of sunlight, they may struggle to develop healthy, robust foliage and overall growth.","Noble Fir should be pruned in late winter or early spring. Pruning should be minimal, focusing on removing any dead, damaged, or diseased branches. If needed, growing tips can be removed to maintain desired size, shape, and angle of branching. Avoid cutting branches through heavily burdened areas - these areas should be thinned out instead. In addition, limit the amount of pruning to no more than 10% of the foliage each year to prevent possible dieback or disease problems."
10,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,"Johin Japanese Maple should be watered about every 5-7 days with about 1 gallon of water on each occasion. Water should be applied slowly and evenly so that the soil is thoroughly soaked. Generally, it is better to water your plant deeply only once instead of a little bit every day.","The Johin Japanese Maple needs full sun in the morning and afternoon, as well as some afternoon shade. It should receive at least 6 hours of direct sunlight each day, with a minimum of 4 hours in the morning and 2 to 4 hours in the afternoon. Avoid exposing it to intense midday sun as it is more susceptible to sunburn.","Johin Japanese maples should be pruned in early spring, before new growth appears. Pruning should be light, removing no more than 10-15% of the tree at each pruning session. Pay particular attention to crossing or exposed branches, and those that are crossing the center of the tree. Heavy pruning should be avoided, as this encourages weak and leggy growth. Additionally, take care not to prune away any flower buds or new shoots that are forming."
